107-neo4-69.png	[132.0, 98.0, 56.0]	[246.0, 193.0, 28.0]	[196.0, 149.0, 82.0]	[209.0, 48.0, 36.0]	[193.0, 173.0, 190.0]
123-bw7-7.png	[195.0, 212.0, 209.0]	[121.0, 175.0, 84.0]	[70.0, 86.0, 67.0]	[75.0, 111.0, 151.0]	[210.0, 224.0, 103.0]
129-g1-22.png	[107.0, 80.0, 55.0]	[120.0, 192.0, 217.0]	[230.0, 86.0, 59.0]	[212.0, 212.0, 103.0]	[228.0, 224.0, 222.0]
131-sm1-139.png	[10.0, 176.0, 233.0]	[222.0, 197.0, 210.0]	[108.0, 66.0, 67.0]	[94.0, 193.0, 229.0]	[167.0, 168.0, 129.0]
133-bw5-84.png	[172.0, 89.0, 1.0]	[113.0, 134.0, 43.0]	[210.0, 222.0, 212.0]	[172.0, 193.0, 16.0]	[76.0, 55.0, 42.0]
134-bwp-BW89.png	[51.0, 128.0, 184.0]	[203.0, 226.0, 238.0]	[239.0, 234.0, 165.0]	[99.0, 97.0, 95.0]	[81.0, 187.0, 206.0]
149-bw9-83.png	[84.0, 81.0, 65.0]	[225.0, 179.0, 19.0]	[234.0, 236.0, 222.0]	[142.0, 175.0, 180.0]	[60.0, 126.0, 176.0]
150-bw4-98.png	[162.0, 139.0, 186.0]	[239.0, 195.0, 44.0]	[228.0, 212.0, 228.0]	[71.0, 57.0, 94.0]	[119.0, 70.0, 141.0]
150-sm35-39.png	[220.0, 212.0, 229.0]	[66.0, 117.0, 158.0]	[146.0, 127.0, 151.0]	[183.0, 186.0, 155.0]	[59.0, 65.0, 98.0]
150-xyp-XY101.png	[218.0, 216.0, 228.0]	[97.0, 58.0, 85.0]	[172.0, 131.0, 150.0]	[214.0, 74.0, 98.0]	[111.0, 120.0, 165.0]
28-ecard3-93.png	[249.0, 144.0, 14.0]	[89.0, 46.0, 27.0]	[248.0, 204.0, 54.0]	[216.0, 203.0, 188.0]	[171.0, 79.0, 31.0]
29-pl2-71.png	[108.0, 141.0, 106.0]	[107.0, 165.0, 217.0]	[186.0, 99.0, 42.0]	[179.0, 209.0, 45.0]	[196.0, 196.0, 223.0]
29-xy5-66.png	[226.0, 207.0, 195.0]	[112.0, 97.0, 118.0]	[130.0, 186.0, 157.0]	[181.0, 188.0, 210.0]	[198.0, 220.0, 164.0]
36-g1-51.png	[45.0, 41.0, 28.0]	[176.0, 189.0, 87.0]	[231.0, 146.0, 151.0]	[109.0, 112.0, 70.0]	[227.0, 204.0, 197.0]
36-xy3-71.png	[111.0, 115.0, 62.0]	[232.0, 205.0, 198.0]	[184.0, 194.0, 74.0]	[45.0, 39.0, 26.0]	[229.0, 142.0, 145.0]
37-neo4-91.png	[238.0, 117.0, 38.0]	[184.0, 204.0, 102.0]	[116.0, 69.0, 46.0]	[247.0, 198.0, 38.0]	[238.0, 179.0, 153.0]
39-bwp-BW65.png	[59.0, 171.0, 160.0]	[241.0, 190.0, 206.0]	[172.0, 112.0, 67.0]	[142.0, 195.0, 44.0]	[154.0, 140.0, 127.0]
46-xy8-1.png	[210.0, 225.0, 234.0]	[238.0, 160.0, 42.0]	[200.0, 80.0, 21.0]	[87.0, 118.0, 185.0]	[122.0, 139.0, 111.0]
50-pl1-72.png	[142.0, 149.0, 130.0]	[105.0, 78.0, 74.0]	[225.0, 231.0, 227.0]	[188.0, 114.0, 90.0]	[187.0, 207.0, 148.0]
68-dp7-98.png	[67.0, 77.0, 149.0]	[167.0, 176.0, 204.0]	[123.0, 113.0, 88.0]	[187.0, 193.0, 72.0]	[144.0, 41.0, 64.0]
68-xyp-XY108.png	[113.0, 121.0, 128.0]	[124.0, 106.0, 82.0]	[51.0, 44.0, 43.0]	[171.0, 187.0, 197.0]	[219.0, 195.0, 143.0]
74-pl3-105.png	[125.0, 124.0, 128.0]	[57.0, 49.0, 49.0]	[197.0, 213.0, 228.0]	[105.0, 84.0, 64.0]	[176.0, 164.0, 133.0]
79-ex6-80.png	[123.0, 102.0, 80.0]	[194.0, 150.0, 194.0]	[63.0, 54.0, 52.0]	[226.0, 210.0, 170.0]	[239.0, 135.0, 134.0]
84-xy8-115.png	[160.0, 186.0, 111.0]	[168.0, 133.0, 101.0]	[194.0, 96.0, 38.0]	[230.0, 215.0, 194.0]	[89.0, 72.0, 59.0]
91-ex6-20.png	[123.0, 124.0, 147.0]	[44.0, 45.0, 49.0]	[150.0, 197.0, 229.0]	[75.0, 76.0, 94.0]	[201.0, 197.0, 179.0]

0.026680896478121666
25
